id,name,version,chain,author_name,author_id,created_at,mint_opens_at,supply,iterations_count
9288,Destiny Generator,fxhash 1.0 (Tezos),TEZOS,Psybonacci,tz1M6yVQCTUkpwCGPRs9G5bboA7N3GV8ChHU,2022-02-13T14:03:14+00:00,2022-02-13T17:03:14+00:00,23,23
9289,Water Mandala Series I,fxhash 1.0 (Tezos),TEZOS,schwarz,tz1b4Rp6civd5qsPcnWaLKe5T4aH2BBMmMyy,2022-02-13T14:21:44+00:00,2022-02-13T17:21:44+00:00,1,1
9290,Meta Mega Engine,fxhash 1.0 (Tezos),TEZOS,JSZone,tz1WTewyx5TMW6s6hoxMhf1cvJ4L3D4aHM5M,2022-02-13T14:24:44+00:00,2022-02-13T17:24:44+00:00,5,5
9291,Cities/Skylines,fxhash 1.0 (Tezos),TEZOS,hatsubuu,tz1P12KahmWBkNxu6wH82JogGzGMP1cuD1kG,2022-02-13T14:26:44+00:00,2022-02-13T17:26:44+00:00,25,25
9292,subsatellite,fxhash 1.0 (Tezos),TEZOS,Tijn Arts,tz1afMYC5jzuvsVXgyEPjBG2biRD15WSbpr7,2022-02-13T14:29:44+00:00,2022-02-13T14:29:44+00:00,100,100
9293,Solids T/F,fxhash 1.0 (Tezos),TEZOS,ayumu_naga,tz1aHHvK4FinywVfD2evb129rZ4Yx77kSVoC,2022-02-13T14:38:14+00:00,2022-02-13T17:38:14+00:00,24,24
9295,VADFAD,fxhash 1.0 (Tezos),TEZOS,abetusk,tz1bNPdp4zhChxZW4Ho1seEeqSb2BeKvAREf,2022-02-13T14:42:44+00:00,2022-02-13T17:42:44+00:00,156,156
9296,Square,fxhash 1.0 (Tezos),TEZOS,se.nao.maja,tz1fuFU1dZPCCi94STXFL3XZjxN56RwfWqkK,2022-02-13T14:43:14+00:00,2022-02-13T14:43:14+00:00,75,75
9298,Attractor,fxhash 1.0 (Tezos),TEZOS,TimeHexEleven,tz1SvLb2PeF8mUvnfDRe4W9bPdWyrFVGtaGv,2022-02-13T14:44:14+00:00,2022-02-13T17:44:14+00:00,6,6
9299,Construction of destructuring,fxhash 1.0 (Tezos),TEZOS,smldms,tz1PNijLkGEGcECdS3z7KR9ZUPMWnxQcjLky,2022-02-13T14:47:44+00:00,2022-02-13T14:47:44+00:00,16,16
9300,Palimpsest,fxhash 1.0 (Tezos),TEZOS,softd0t,tz1SQnk6qbRVxUhx5WDYLQ7XWKXTriKcD6hg,2022-02-13T14:49:44+00:00,2022-02-13T14:49:44+00:00,20,20
9301,Tezzo Kitty,fxhash 1.0 (Tezos),TEZOS,Pixelius,tz1RpUEwbhw6VrYw3dw32JJ3sYXP1HZVzTiD,2022-02-13T14:50:14+00:00,2022-02-13T14:50:14+00:00,51,51
9303,IRO_GEMU,fxhash 1.0 (Tezos),TEZOS,TREFOIL,tz1Y1nLwm6Y7eLmb4SYNtpJ1LUaibRxAQcmU,2022-02-13T14:57:14+00:00,2022-02-13T17:57:14+00:00,40,40
9304,Softer Fields,fxhash 1.0 (Tezos),TEZOS,mandybrigwell,tz1VjCS2jiBTVPSEoYzJ79KkbYV5QbFJxuf3,2022-02-13T14:58:14+00:00,2022-02-13T14:58:14+00:00,5,5
9305,Blurring of Chromatic Alternation,fxhash 1.0 (Tezos),TEZOS,Proembrion,tz2AjoLXod2ZRaB7L38uFNg88XZFF67fUxDm,2022-02-13T14:58:44+00:00,2022-02-13T17:58:44+00:00,83,83
9307,Calculating Infinity,fxhash 1.0 (Tezos),TEZOS,Sammorito,tz2EGStRv3L2HaDESqiwHD7cGzz1oNzcSoif,2022-02-14T05:00:34+00:00,2022-02-14T08:00:34+00:00,128,128
9308,Twins: Physical Equality,fxhash 1.0 (Tezos),TEZOS,buura,tz1VHhigdsDZHgWG5t26enEQiTnA9fR8mrC5,2022-02-14T05:01:04+00:00,2022-02-14T08:01:04+00:00,2,2
9309,Flower Field V1,fxhash 1.0 (Tezos),TEZOS,ogDimwit,tz1aDgtRh2oNUiutz4FPBcmS8ecCBDdTKcGp,2022-02-14T05:01:04+00:00,2022-02-14T08:01:04+00:00,1,1
