id,name,version,chain,mint_opens_at,supply,minted,currency,primary_volume,primary_sales,secondary_volume,total_volume,total_sales,total_volume_usd
24664,Suprematrix [Genuary32nd],fxhash 1.0 (Tezos),TEZOS,2023-02-07T19:00:00+00:00,32,6,XTZ,12.0,6,0.0,12.0,6,14.55
24665,Pirámides Rojas v2,fxhash 1.0 (Tezos),TEZOS,2023-02-03T20:14:29+00:00,50,3,XTZ,6.0,3,0.0,6.0,3,6.0
24666,Abstraction,fxhash 1.0 (Tezos),TEZOS,2023-02-03T20:33:29+00:00,30,12,XTZ,12.0,12,0.0,12.0,12,13.78
24667,Quasisymmetric,fxhash 1.0 (Tezos),TEZOS,2023-02-03T23:44:29+00:00,20,18,XTZ,36.0,18,0.0,36.0,18,38.22
24669,Sikulirative - Genuary32nd Editon,fxhash 1.0 (Tezos),TEZOS,2023-02-04T16:00:00+00:00,32,32,XTZ,32.0,32,5.2,37.2,34,43.76
2467,Bullet Time,fxhash 1.0 (Tezos),TEZOS,2021-12-06T20:30:40+00:00,7,7,XTZ,9.0,7,0.3,9.3,8,40.98
24671,paint with lines,fxhash 1.0 (Tezos),TEZOS,2023-02-06T16:30:00+00:00,69,69,XTZ,57.2,69,15.492,72.692,78,83.02
24673,genuary32nd: intersections,fxhash 1.0 (Tezos),TEZOS,2023-02-04T04:32:00+00:00,32,32,XTZ,102.4,32,34.0,136.4,36,154.59
24674,acid trip,fxhash 1.0 (Tezos),TEZOS,2023-02-03T21:59:14+00:00,15,2,XTZ,3.0,2,0.0,3.0,2,3.34
24675,cosmic circles,fxhash 1.0 (Tezos),TEZOS,2023-02-04T01:33:14+00:00,45,45,XTZ,22.5,45,20.05,42.55,55,48.49
24676,Komposite,fxhash 1.0 (Tezos),TEZOS,2023-02-05T19:00:00+00:00,32,32,XTZ,88.0,32,173.22,261.22,44,298.9
24677,Cubism Bulls,fxhash 1.0 (Tezos),TEZOS,2023-02-04T14:30:00+00:00,16,10,XTZ,10.0,10,0.0,10.0,10,11.93
24678,Reflections,fxhash 1.0 (Tezos),TEZOS,2023-02-04T02:25:59+00:00,128,128,XTZ,0.0,128,36.19,36.19,167,41.32
2468,Universe,fxhash 1.0 (Tezos),TEZOS,2021-12-06T20:31:40+00:00,128,128,XTZ,640.0,128,2268.47834,2908.47834,273,11738.04
24680,Asia  - Genuary32,fxhash 1.0 (Tezos),TEZOS,2023-02-04T12:12:00+00:00,32,22,XTZ,6.4,22,0.0,6.4,22,7.45
24682,Hawaii - Genuary32,fxhash 1.0 (Tezos),TEZOS,2023-02-04T15:03:00+00:00,32,16,XTZ,44.1,16,2.88,46.98,17,54.99
24683,Ups and Downs,fxhash 1.0 (Tezos),TEZOS,2023-02-04T08:27:29+00:00,45,45,XTZ,2.5,45,0.0,2.5,45,2.92
24684,Sundials,fxhash 1.0 (Tezos),TEZOS,2023-02-06T15:00:00+00:00,32,32,XTZ,0.0,32,0.0,0.0,32,0.0
24685,tileWall,fxhash 1.0 (Tezos),TEZOS,2023-02-04T11:30:00+00:00,20,5,XTZ,4.0,5,0.0,4.0,5,4.65
24687,Porowhita Aniwaniwa,fxhash 1.0 (Tezos),TEZOS,2023-02-04T16:32:00+00:00,69,6,XTZ,1.92,6,0.0,1.92,6,2.22
24688,Doodle Tiles v1.0,fxhash 1.0 (Tezos),TEZOS,2023-02-04T06:28:29+00:00,29,29,XTZ,0.4,29,0.0,0.4,29,0.44
24689,Traces,fxhash 1.0 (Tezos),TEZOS,2023-02-04T17:30:00+00:00,5,5,XTZ,15.0,5,0.0,15.0,5,18.03
2469,[forma],fxhash 1.0 (Tezos),TEZOS,2021-12-06T20:42:50+00:00,128,128,XTZ,163.84,128,7.29,171.13,136,738.4
24690,Scribble Maxi - AI29,fxhash 1.0 (Tezos),TEZOS,2023-02-04T14:00:00+00:00,100,1,XTZ,1.0,1,0.0,1.0,1,1.24
24692,Aging and Forgotten,fxhash 1.0 (Tezos),TEZOS,2023-02-04T16:00:00+00:00,64,64,XTZ,128.0,64,124.4,252.4,93,295.38
24695,January,fxhash 1.0 (Tezos),TEZOS,2023-02-05T15:00:00+00:00,32,32,XTZ,304.0,32,865.0,1169.0,55,1299.87
24697,Linha Tênue,fxhash 1.0 (Tezos),TEZOS,2023-02-08T14:00:00+00:00,111,9,XTZ,27.0,9,0.0,27.0,9,32.73
24698,BETWEEN,fxhash 1.0 (Tezos),TEZOS,2023-02-07T17:00:00+00:00,128,128,XTZ,1620.0,128,1193.725914,2813.725914,221,3252.27
24699,while (perfect),fxhash 1.0 (Tezos),TEZOS,2023-02-04T15:30:00+00:00,32,3,XTZ,9.6,3,0.0,9.6,3,11.09
247,Free Your Mind,fxhash 1.0 (Tezos),TEZOS,2021-11-17T10:26:02+00:00,7,7,XTZ,23.5,7,18.6,42.1,9,149.45
2470,FORMS - TRIANGLE 01,fxhash 1.0 (Tezos),TEZOS,2021-12-06T20:43:50+00:00,9,9,XTZ,9.0,9,0.0,9.0,9,39.03
24700,Skull Funcs,fxhash 1.0 (Tezos),TEZOS,2023-02-04T18:16:14+00:00,17,17,XTZ,17.0,17,0.0,17.0,17,19.71
