channel,rotator,hue360,sat100,light100,length
1,53.346,146.25,66.40625,66.40625,118
3,53.346,180,66.40625,66.40625,118
1,53.535,154.6875,69.53125,69.53125,118
3,53.535,188.4375,69.53125,69.53125,118
1,53.725,165.9375,66.40625,66.40625,118
2,53.725,188.4375,56.25,56.25,478
3,53.725,199.6875,66.40625,66.40625,118
1,53.914,180,66.40625,66.40625,118
3,53.914,213.75,66.40625,66.40625,118
1,54.103,174.375,59.375,59.375,118
3,54.103,208.125,59.375,59.375,118
1,54.292,188.4375,76.5625,76.5625,118
3,54.292,222.1875,76.5625,76.5625,118
1,54.481,168.75,56.25,56.25,118
2,54.481,208.125,69.53125,69.53125,478
3,54.481,202.5,56.25,56.25,118
1,54.670,174.375,59.375,59.375,118
3,54.670,208.125,59.375,59.375,118
1,54.860,180,56.25,56.25,118
3,54.860,213.75,56.25,56.25,118
1,55.049,160.3125,69.53125,69.53125,118
3,55.049,194.0625,69.53125,69.53125,118
1,55.238,165.9375,53.125,53.125,118
2,55.238,194.0625,72.65625,72.65625,478
3,55.238,199.6875,53.125,53.125,118
5,55.238,106.875,99.21875,99.21875,1918
1,55.427,168.75,66.40625,66.40625,118
3,55.427,202.5,66.40625,66.40625,118
1,55.616,154.6875,72.65625,72.65625,118
3,55.616,188.4375,72.65625,72.65625,118
1,55.805,160.3125,76.5625,76.5625,118
3,55.805,194.0625,76.5625,76.5625,118
1,55.995,146.25,69.53125,69.53125,118
2,55.995,199.6875,66.40625,66.40625,478
3,55.995,180,69.53125,69.53125,118
1,56.184,154.6875,76.5625,76.5625,118
3,56.184,188.4375,76.5625,76.5625,118
1,56.373,135,59.375,59.375,118
3,56.373,168.75,59.375,59.375,118
1,56.562,146.25,69.53125,69.53125,118
3,56.562,180,69.53125,69.53125,118
1,56.751,143.4375,72.65625,72.65625,118
2,56.751,185.625,53.125,53.125,478
3,56.751,177.1875,72.65625,72.65625,118
1,56.940,146.25,72.65625,72.65625,118
3,56.940,180,72.65625,72.65625,118
1,57.141,137.8125,72.65625,72.65625,118
3,57.141,171.5625,72.65625,72.65625,118
1,57.319,140.625,92.96875,92.96875,118
3,57.319,174.375,92.96875,92.96875,118
2,57.508,188.4375,56.25,56.25,478
1,57.519,135,72.65625,72.65625,118
3,57.519,168.75,72.65625,72.65625,118
1,57.708,140.625,72.65625,72.65625,118
3,57.708,174.375,72.65625,72.65625,118
1,57.897,146.25,72.65625,72.65625,118
3,57.897,180,72.65625,72.65625,118
1,58.086,154.6875,69.53125,69.53125,113
3,58.086,188.4375,69.53125,69.53125,113
1,58.265,98.4375,83.59375,83.59375,118
2,58.265,185.625,50,50,1438
3,58.265,132.1875,83.59375,83.59375,118
5,58.276,98.4375,99.21875,99.21875,1433
1,58.454,106.875,53.125,53.125,118
3,58.454,140.625,53.125,53.125,118
1,58.643,132.1875,53.125,53.125,118
3,58.643,165.9375,53.125,53.125,118
1,58.832,120.9375,56.25,56.25,118
3,58.832,154.6875,56.25,56.25,118
1,59.021,109.6875,69.53125,69.53125,118
3,59.021,143.4375,69.53125,69.53125,118
1,59.220,126.5625,48.4375,48.4375,118
3,59.220,160.3125,48.4375,48.4375,118
1,59.400,146.25,48.4375,48.4375,118
3,59.400,180,48.4375,48.4375,118
1,59.589,129.375,76.5625,76.5625,118
3,59.589,163.125,76.5625,76.5625,118
1,59.789,154.6875,72.65625,72.65625,118
3,59.789,188.4375,72.65625,72.65625,118
1,59.967,140.625,50,50,118
3,59.967,174.375,50,50,118
1,60.156,151.875,59.375,59.375,118
3,60.156,185.625,59.375,59.375,118
1,60.345,160.3125,48.4375,48.4375,118
3,60.345,194.0625,48.4375,48.4375,118
2,60.535,165.9375,54.6875,54.6875,1886
5,60.535,64.6875,92.96875,92.96875,1918
1,60.544,98.4375,59.375,59.375,118
3,60.544,132.1875,59.375,59.375,118
1,60.724,109.6875,79.6875,79.6875,118
3,60.724,143.4375,79.6875,79.6875,118
1,60.911,151.875,53.125,53.125,118
3,60.911,185.625,53.125,53.125,118
1,61.102,154.6875,59.375,59.375,118
3,61.102,188.4375,59.375,59.375,118
1,61.291,160.3125,62.5,62.5,118
3,61.291,194.0625,62.5,62.5,118
1,61.481,165.9375,56.25,56.25,118
3,61.481,199.6875,56.25,56.25,118
1,61.670,180,46.09375,46.09375,118
3,61.670,213.75,46.09375,46.09375,118
1,61.859,168.75,88.28125,88.28125,118
3,61.859,202.5,88.28125,88.28125,118
1,62.069,165.9375,59.375,59.375,118
3,62.069,199.6875,59.375,59.375,118
1,62.237,151.875,26.5625,26.5625,118
3,62.237,185.625,26.5625,26.5625,118
1,62.426,154.6875,46.875,46.875,118
3,62.426,188.4375,46.875,46.875,118
1,62.616,160.3125,59.375,59.375,118
3,62.616,194.0625,59.375,59.375,118
1,62.805,154.6875,50,50,118
3,62.805,188.4375,50,50,118
1,62.994,118.125,66.40625,66.40625,118
3,62.994,151.875,66.40625,66.40625,118
1,63.183,174.375,66.40625,66.40625,118
3,63.183,208.125,66.40625,66.40625,118
1,63.372,180,69.53125,69.53125,118
3,63.372,213.75,69.53125,69.53125,118
1,63.561,112.5,69.53125,69.53125,118
2,63.561,180,69.53125,69.53125,478
3,63.561,146.25,69.53125,69.53125,118
5,63.561,112.5,99.21875,99.21875,1438
1,63.751,132.1875,59.375,59.375,118
3,63.751,165.9375,59.375,59.375,118
1,63.940,146.25,53.125,53.125,118
3,63.940,180,53.125,53.125,118
1,64.129,154.6875,53.125,53.125,118
3,64.129,188.4375,53.125,53.125,118
1,64.318,180,59.375,59.375,118
2,64.318,199.6875,69.53125,69.53125,478
3,64.318,213.75,59.375,59.375,118
1,64.507,165.9375,59.375,59.375,118
3,64.507,199.6875,59.375,59.375,118
1,64.696,174.375,56.25,56.25,118
3,64.696,208.125,56.25,56.25,118
1,64.886,160.3125,59.375,59.375,118
3,64.886,194.0625,59.375,59.375,118
1,65.075,154.6875,48.4375,48.4375,118
2,65.075,222.1875,69.53125,69.53125,478
3,65.075,188.4375,48.4375,48.4375,118
1,65.264,160.3125,59.375,59.375,118
3,65.264,194.0625,59.375,59.375,118
1,65.453,165.9375,69.53125,69.53125,118
3,65.453,199.6875,69.53125,69.53125,118
1,65.642,154.6875,69.53125,69.53125,118
3,65.642,188.4375,69.53125,69.53125,118
1,65.831,126.5625,59.375,59.375,118
2,65.831,219.375,69.53125,69.53125,478
3,65.831,160.3125,59.375,59.375,118
5,65.831,106.875,99.21875,99.21875,1918
1,66.021,140.625,62.5,62.5,118
3,66.021,174.375,62.5,62.5,118
1,66.210,154.6875,56.25,56.25,118
3,66.210,188.4375,56.25,56.25,118
1,66.399,165.9375,53.125,53.125,118
3,66.399,199.6875,53.125,53.125,118
1,66.588,188.4375,69.53125,69.53125,118
2,66.588,222.1875,69.53125,69.53125,478
3,66.588,222.1875,69.53125,69.53125,118
1,66.777,174.375,46.09375,46.09375,118
3,66.777,208.125,46.09375,46.09375,118
1,66.966,180,56.25,56.25,118
3,66.966,213.75,56.25,56.25,118
1,67.156,174.375,48.4375,48.4375,118
3,67.156,208.125,48.4375,48.4375,118
1,67.345,165.9375,46.875,46.875,118
2,67.345,233.4375,66.40625,66.40625,478
3,67.345,199.6875,46.875,46.875,118
1,67.534,160.3125,53.125,53.125,118
3,67.534,194.0625,53.125,53.125,118
1,67.723,165.9375,56.25,56.25,118
3,67.723,199.6875,56.25,56.25,118
1,67.912,140.625,56.25,56.25,118
3,67.912,174.375,56.25,56.25,118
1,68.102,154.6875,59.375,59.375,118
2,68.102,255.9375,62.5,62.5,478
3,68.102,188.4375,59.375,59.375,118
1,68.291,174.375,50,50,118
3,68.291,208.125,50,50,118
