"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"#000000FF","#000002FF","#000100FF","#010000FF","#1B90C6FF","#1A8FC5FF","#1D8FC3FF","#1A8FC4FF","#1B8EC4FF","#EE4A91FF","#EC4B8FFF","#EF4991FF"
"#01199DFF","#02189FFF","#001A9BFF","#00199CFF","#01179EFF","#0001DFFF","#0200DFFF","#0000DFFF","#0000DEFF","#0101DFFF","#34DD9CFF","#33DE9CFF"
"#000000FF","#000004FF","#211753FF","#221654FF","#22174FFF","#221753FF","#3C2A7CFF","#382B7DFF","#3E287BFF","#392A7BFF","#3B2A7AFF","#714DA4FF"
"#1C144DFF","#1A154DFF","#1D164CFF","#1A174EFF","#393593FF","#373894FF","#363793FF","#3A3792FF","#383794FF","#D4344CFF","#D6344CFF","#D3334BFF"
"#000000FF","#010000FF","#000100FF","#000002FF","#4F2C19FF","#4D2C1BFF","#4F2B1BFF","#4C2D1BFF","#8A5A34FF","#885B34FF","#8B5A31FF","#9B8673FF"
"#921F58FF","#CE599DFF","#68C2BFFF","#9DD5DBFF","#D5DED0FF","#EFEFEFFF","#921F58FF","#CE599DFF","#68C2BFFF","#9DD5DBFF","#D5DED0FF","#EFEFEFFF"
"#000000FF","#963F17FF","#B75A1CFF","#B68455FF","#574F32FF","#A48A58FF","#000000FF","#963F17FF","#B75A1CFF","#B68455FF","#574F32FF","#A48A58FF"
"#000000FF","#613922FF","#7D4C29FF","#96725BFF","#C1B5A2FF","#000000FF","#613922FF","#7D4C29FF","#96725BFF","#C1B5A2FF","#000000FF","#613922FF"
"#000000FF","#333333FF","#AB2C43FF","#7ADCF6FF","#FEC3FFFF","#000000FF","#333333FF","#AB2C43FF","#7ADCF6FF","#FEC3FFFF","#000000FF","#333333FF"
"#000000FF","#303539FF","#CA9A72FF","#CB9A72FF","#EAEAEAFF","#F5F5F7FF","#000000FF","#303539FF","#CA9A72FF","#CB9A72FF","#EAEAEAFF","#F5F5F7FF"
"#111A27FF","#291828FF","#1D4258FF","#6F9394FF","#CB0227FF","#111A27FF","#291828FF","#1D4258FF","#6F9394FF","#CB0227FF","#111A27FF","#291828FF"
"#242424FF","#37253DFF","#852851FF","#E10131FF","#F6F4F5FF","#242424FF","#37253DFF","#852851FF","#E10131FF","#F6F4F5FF","#242424FF","#37253DFF"
"#02307DFF","#0355B8FF","#84C5FFFF","#83C5FFFF","#856A7BFF","#836B7BFF","#B79498FF","#02307DFF","#0355B8FF","#84C5FFFF","#83C5FFFF","#856A7BFF"
"#000000FF","#DB0F12FF","#DB0E13FF","#DB1014FF","#DC1013FF","#DC0F14FF","#000000FF","#DB0F12FF","#DB0E13FF","#DB1014FF","#DC1013FF","#DC0F14FF"
"#000000FF","#000002FF","#000104FF","#1C272DFF","#172830FF","#19282FFF","#274857FF","#274955FF","#27485BFF","#254955FF","#274756FF","#48899FFF"
"#3850A8FF","#3A4FA8FF","#3650A5FF","#0068F7FF","#0068F8FF","#0367FBFF","#0069F7FF","#889DFAFF","#869DFBFF","#859CF9FF","#E0B0FCFF","#DCB0FBFF"
"#000000FF","#000002FF","#241C4BFF","#241E4CFF","#231D4DFF","#231D4BFF","#512282FF","#4F2384FF","#542180FF","#502380FF","#512184FF","#7D3BA7FF"
